               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
45,0.059704,0.033313,0.073279,0.7106,0.03732,0.020461,0.010685,0.062445,0.025957,0.076838,0.005644,0.005644,0.005644
46,0.0597,0.032644,0.072917,0.73513,0.041423,0.021182,0.012278,0.062922,0.025248,0.076648,0.005545,0.005545,0.005545
47,0.059162,0.032706,0.07281,0.74317,0.041863,0.021808,0.012686,0.0627,0.02582,0.076561,0.005446,0.005446,0.005446
48,0.058731,0.033474,0.072482,0.62261,0.041,0.018864,0.010192,0.064169,0.026397,0.076924,0.005347,0.005347,0.005347
49,0.058448,0.031884,0.072717,0.60021,0.049537,0.020722,0.011351,0.060644,0.026022,0.07626,0.005248,0.005248,0.005248
50,0.05742,0.032907,0.073646,0.66995,0.033478,0.030791,0.015064,0.063971,0.026004,0.076175,0.005149,0.005149,0.005149
51,0.057268,0.033179,0.073132,0.6445,0.04922,0.024457,0.012722,0.061715,0.025674,0.076364,0.00505,0.00505,0.00505
52,0.057606,0.032044,0.072214,0.67192,0.03989,0.026307,0.01353,0.062029,0.026102,0.076767,0.004951,0.004951,0.004951
53,0.057392,0.032584,0.072784,0.71423,0.04304,0.026131,0.013477,0.061404,0.025521,0.075883,0.004852,0.004852,0.004852
54,0.056973,0.032095,0.072754,0.70815,0.050069,0.023437,0.013564,0.060553,0.026412,0.075735,0.004753,0.004753,0.004753
55,0.055775,0.032539,0.072113,0.6694,0.052728,0.022981,0.012401,0.062383,0.026306,0.076165,0.004654,0.004654,0.004654
56,0.054953,0.031294,0.072043,0.66646,0.045414,0.026968,0.015148,0.059476,0.025575,0.075641,0.004555,0.004555,0.004555
57,0.05536,0.03181,0.071207,0.73349,0.035306,0.023341,0.013864,0.062382,0.02542,0.075706,0.004456,0.004456,0.004456
58,0.054271,0.031325,0.0719,0.58879,0.055649,0.022227,0.012358,0.062217,0.025984,0.076149,0.004357,0.004357,0.004357
59,0.055566,0.031712,0.071632,0.71644,0.047353,0.024445,0.014075,0.060858,0.026399,0.075661,0.004258,0.004258,0.004258
60,0.055207,0.032762,0.070164,0.66802,0.053382,0.021388,0.011665,0.061598,0.026243,0.075367,0.004159,0.004159,0.004159
61,0.054549,0.031337,0.070622,0.60409,0.049309,0.026761,0.015304,0.060018,0.025604,0.075335,0.00406,0.00406,0.00406
62,0.053538,0.031877,0.070978,0.64646,0.039614,0.029954,0.014911,0.060389,0.025617,0.075888,0.003961,0.003961,0.003961
63,0.053559,0.031368,0.071518,0.67034,0.046468,0.026783,0.014994,0.059877,0.026146,0.075276,0.003862,0.003862,0.003862
64,0.053668,0.030679,0.070403,0.58214,0.053404,0.026171,0.014424,0.060202,0.024752,0.075634,0.003763,0.003763,0.003763
65,0.054054,0.031114,0.070407,0.66988,0.052395,0.025248,0.014768,0.059122,0.024955,0.075369,0.003664,0.003664,0.003664
66,0.05378,0.031375,0.069269,0.69177,0.042828,0.026085,0.014967,0.059576,0.025694,0.075208,0.003565,0.003565,0.003565
67,0.052547,0.030594,0.069373,0.63267,0.048673,0.023469,0.013746,0.05959,0.025742,0.075518,0.003466,0.003466,0.003466
68,0.052808,0.030437,0.069224,0.6684,0.055605,0.026754,0.016262,0.058645,0.026411,0.075213,0.003367,0.003367,0.003367
69,0.053439,0.03073,0.069125,0.57945,0.054936,0.029222,0.015125,0.060251,0.02666,0.075245,0.003268,0.003268,0.003268
70,0.052276,0.032201,0.070063,0.58661,0.052198,0.027558,0.015674,0.063461,0.025672,0.075348,0.003169,0.003169,0.003169
71,0.0514,0.031115,0.069042,0.62426,0.057332,0.02828,0.016863,0.058108,0.024893,0.074886,0.00307,0.00307,0.00307
72,0.052271,0.030999,0.069495,0.60177,0.054406,0.031134,0.0168,0.058295,0.026112,0.075095,0.002971,0.002971,0.002971
73,0.050775,0.030918,0.06872,0.55377,0.058685,0.032164,0.017703,0.059729,0.025448,0.075267,0.002872,0.002872,0.002872
74,0.051709,0.030515,0.068364,0.56732,0.054911,0.027945,0.016455,0.0594,0.025448,0.074835,0.002773,0.002773,0.002773
75,0.050539,0.029221,0.069231,0.61606,0.059413,0.032749,0.017481,0.059127,0.025104,0.075069,0.002674,0.002674,0.002674
76,0.051507,0.031074,0.068912,0.55898,0.058328,0.02605,0.01478,0.057862,0.026396,0.075108,0.002575,0.002575,0.002575
77,0.049345,0.028652,0.068894,0.60585,0.059175,0.02829,0.016482,0.057947,0.026006,0.07438,0.002476,0.002476,0.002476
78,0.048402,0.02927,0.068164,0.6277,0.045821,0.032167,0.018574,0.058874,0.025644,0.074677,0.002377,0.002377,0.002377
79,0.049566,0.030677,0.068503,0.60278,0.059638,0.032919,0.019348,0.057566,0.025989,0.074417,0.002278,0.002278,0.002278
80,0.048751,0.0295,0.068208,0.57126,0.057841,0.033512,0.019022,0.059049,0.025756,0.074828,0.002179,0.002179,0.002179
81,0.050456,0.029873,0.066647,0.64891,0.048898,0.029155,0.017184,0.057985,0.025493,0.074733,0.00208,0.00208,0.00208
82,0.048558,0.029376,0.066887,0.62501,0.053501,0.028038,0.016832,0.057623,0.025823,0.074914,0.001981,0.001981,0.001981
83,0.048055,0.029217,0.067314,0.54288,0.072353,0.029113,0.01664,0.057909,0.025328,0.074868,0.001882,0.001882,0.001882
84,0.048542,0.02967,0.067816,0.56774,0.055286,0.030549,0.017675,0.057648,0.025396,0.074617,0.001783,0.001783,0.001783
85,0.047543,0.02868,0.067402,0.55556,0.070681,0.027635,0.016295,0.058674,0.025039,0.074781,0.001684,0.001684,0.001684
